	k	p	c	o	f	g	s
OTU_2812	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	g:Gemmatimonas	Unclassified
OTU_2811	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Hyphomicrobiaceae	g:Pedomicrobium	Unclassified
OTU_2813	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Nannocystaceae	g:Nannocystis	Unclassified
OTU_2815	k:Bacteria	p:Verrucomicrobia	c:Spartobacteria	o:Chthoniobacterales	f:Chthoniobacteraceae	g:Chthoniobacter	Unclassified
OTU_2814	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Sandaracinaceae	Unclassified	Unclassified
OTU_2816	k:Bacteria	p:Chloroflexi	c:TK10	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2820	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Singulisphaera	Unclassified
OTU_2824	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2818	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_2817	k:Bacteria	p:Latescibacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2819	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_2821	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_2822	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_2823	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	Unclassified	Unclassified
OTU_2831	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2827	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:env.OPS_17	Unclassified	Unclassified
OTU_2826	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Bdellovibrionales	f:Bdellovibrionaceae	g:OM27_clade	Unclassified
OTU_2825	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	f:Acidimicrobiaceae	Unclassified	Unclassified
OTU_2834	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2828	k:Bacteria	p:Verrucomicrobia	c:OPB35_soil_group	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2829	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:BIrii41	Unclassified	Unclassified
OTU_2830	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Clostridiaceae_1	g:Clostridium_sensu_stricto_5	s:Clostridium_sp._R6
OTU_2832	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2833	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Solirubrobacteraceae	g:Solirubrobacter	Unclassified
OTU_2837	k:Bacteria	p:Elusimicrobia	c:Elusimicrobia	o:Lineage_IIa	Unclassified	Unclassified	Unclassified
OTU_2840	k:Bacteria	p:Chloroflexi	c:P2-11E	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2835	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	Unclassified	Unclassified	Unclassified
OTU_2841	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:Phycisphaerales	f:Phycisphaeraceae	g:SM1A02	Unclassified
OTU_2836	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Amycolatopsis	Unclassified
OTU_2838	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:YNPFFP1	Unclassified	Unclassified
OTU_2839	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	Unclassified
OTU_2847	k:Bacteria	p:Microgenomates	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2843	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	Unclassified	Unclassified	Unclassified
OTU_2849	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2844	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_2851	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2842	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Hyphomicrobiaceae	g:Rhodomicrobium	Unclassified
OTU_2845	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_2848	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Gemmata	Unclassified
OTU_2846	k:Bacteria	p:Verrucomicrobia	c:Verrucomicrobiae	o:Verrucomicrobiales	Unclassified	Unclassified	Unclassified
OTU_2850	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_2855	k:Archaea	p:Euryarchaeota	c:Thermoplasmata	o:Thermoplasmatales	f:Marine_Group_II	Unclassified	Unclassified
OTU_2852	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_2859	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2857	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	g:Gemmatimonas	Unclassified
OTU_2856	k:Bacteria	p:Chloroflexi	c:S085	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2853	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_2858	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_2854	k:Bacteria	p:Chloroflexi	c:JG37-AG-4	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2861	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Blfdi19	Unclassified	Unclassified
OTU_2862	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:PHOS-HE51	Unclassified	Unclassified
OTU_2860	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Thermomonosporaceae	g:Actinomadura	s:Actinomadura_scrupuli
